record_id,location,date_time,avg_speed,NO2_level,PM25_level,traffic_volume
190.0,Los Angeles,2025-08-04 17:32:45,37,21.15,66.11,1297
577.0,Miami,2025-07-27 13:16:27,100,145.0,118.27,7218
192.0,Phoenix ,2025-08-23 20:56:56,84,low,62.47,9293
193.0,New York,2025-08-14 05:09:27,52,166.21,37.49,2454
194.0,Seattle,2025-08-22 12:28:18,80,91.09,121.9,4556
195.0,Chicago,2025-07-27 17:47:54,109,108.14,127.3,1521
196.0,Los Angeles,2025-08-02 06:40:20,97,134.3,98.55,1713
1720.0,boston,08-08-25,16,,-44.84,5262
198.0,Chicago,2025-07-31 10:28:48,77,71.16,127.19,2816
199.0,Miami,2025-08-06 17:46:02,48,high,143.3,9268
200.0,Los Angeles,2025-07-29 09:18:00,38,83.06,-63.79,3237
201.0,new york,2025-07-31 21:17:51,82,185.58,109.08,788
202.0,New York,2025-08-17 21:58:24,62,85.38,8.57,1488
203.0,Seattle,2025-08-15 23:35:35,82,55.68,96.69,5530
204.0,New York ,2025-08-02 11:28:18,28,130.77,17.6,9710
205.0,San Francisco,2025-08-23 04:26:17,70,92.02,59.34,worry
206.0,PHOENIX,NULL,19,140.05,98.27,1013
207.0,New York,2025-08-21 17:59:02,36,,129.63,5639
1744.0,BOSTON,2025-08-10 15:59:49,14,47.23,75.98,8856
209.0,NEW YORK,2025-08-14 22:46:25,33kmh,38.75,133.77,season
210.0,Miami,2025-08-13 21:02:19,91,156.03,-10.57,5612
211.0,houston,2025-07-26 14:55:42,92,44.33,97.69,7348
212.0,San Francisco,2025-08-19 14:45:54,80,,72.4,568
213.0,Chicago,2025-08-03 01:16:06,28,166.21,14.72,4129
214.0,Dallas,2025-08-09 04:32:50,89,131.68,45.13,3972
215.0,Houston,2025-08-04 04:14:23,14,med,36.9,615
216.0,San Francisco,2025-08-02 22:44:24,11,100.53,106.66,5691
217.0,ph0enix,2025-08-05 08:40:57,108,47.51,77.17,6144
218.0,Los Angeles,2025-08-22 14:37:47,88,22.28,76.58,4051
219.0,San Francisco,2025-07-27 09:19:35,86,101.94,56.7,8471
220.0,San Francisco,2025-08-21 15:42:26,35kmh,83.79,22.97,3422
221.0,Los Angeles,2025-07-30 06:46:02,101,191.75,83.95,5723
222.0,chicago,2025-08-09 10:04:25,81,114.49,96.84,1219
223.0,Miami ,2025-08-22 13:52:54,96,127.44,35.08,1765
224.0,San Francisco ,2025-08-07 19:28:34,47,171.48,95.5,3869
1801.0,Boston,2025-08-14 16:30:21,79,27.76,110.58,2514
226.0,CHICAGO,2025-08-16 04:01:03,31,189.18,90.48,6886
227.0,Phoenix,2025-08-22 03:38:45,79,117.23,34.25,4474
228.0,San Francisco,2025-08-11 15:39:42,95,140.62,31.03,7540
229.0,LOS ANGELES,02-08-25,41,159.65,48.69,3423
230.0,san francisco ,09-08-25,60,18.7,22.98,5642
231.0,Houston,2025-08-15 21:23:30,93,129.29,147.53,9027
232.0,Chicago ,2025-07-25 21:13:37,21,96.47,37.5,2531
233.0,Boston,2025-08-05 09:50:48,28,,26.12,4863
234.0,Miami,2025-08-10 08:17:18,117,56.03,130.64,368
235.0,Boston,2025-08-15 13:55:52,120,,15.87,8979
236.0,new york,2025-08-04 10:47:32,71,14.34,34.87,2245
237.0,Los Angeles,2025-08-23 22:03:06,101,190.99,98.76,101
238.0,Phoenix,02-08-25,19kmh,173.69,69.78,2092
239.0,Seattle,2025-08-01 06:00:56,21,,136.96,6151
240.0,CHICAGO,09-08-25,78,100.35,74.6,7440
241.0,Miami,2025/07/30,82,182.06,113.84,7414
778.0,los angeles,2025-08-23 02:10:17,60,135.22,32.87,5452
243.0,Houston,2025-08-01 22:58:35,38kmh,97.55,100.58,8740
1228.0,chicago,2025-08-17 04:35:09,70,,64.25,4022
245.0,Seattle,2025-08-13 09:49:28,20kmh,,55.3,7524
1314.0,New York,2025/08/13,51,81.15,92.79,5325
247.0,Miami,2025/08/24,38kmh,118.83,127.29,8100
248.0,Boston,17-08-25,18kmh,,77.53,2902
249.0,houston,2025-08-07 10:58:21,43kmh,67.43,40.97,4644
250.0,New York,2025-08-15 22:57:18,99kmh,131.73,48.85,2316
251.0,Seattle,2025-07-28 17:27:21,72,114.03,5.58,492
252.0,BOSTON,2025-08-19 17:07:58,73,70.24,-43.5,1531
253.0,Chicago,2025-08-21 22:14:34,45kmh,34.47,31.38,1144
439.0,CHICAGO,2025-08-11 13:27:28,87,,9.98,7000
255.0,Boston ,2025-08-18 20:47:44,33,172.26,5.51,8974
256.0,San Francisco,2025-07-27 23:17:04,29,12.15,24.93,4554
257.0,NEW YORK,2025-08-11 09:10:25,17,128.51,91.42,226
258.0,Miami,2025-08-09 02:50:03,33kmh,44.52,31.24,4274
259.0,Miami,19-08-25,56,57.51,76.71,9728
260.0,Houston,2025-08-15 02:11:38,31,169.64,5.63,2491
261.0,CHICAGO,2025/08/10,46,,17.88,4616
262.0,New York,2025-07-28 15:18:29,22,,-53.32,2179
263.0,Los Angeles,2025-08-23 16:35:37,19,178.64,113.21,8652
264.0,Phoenix,2025-08-14 14:52:46,85,117.99,20.9,5294
265.0,Houston,2025-08-09 20:20:57,41,142.78,130.79,3758
266.0,San Francisco,2025-08-05 18:43:57,77,164.21,86.59,8685
267.0,San Francisco,28-07-25,30,174.83,46.11,1677
268.0,SEATTLE,2025/08/13,101,133.7,31.93,7161
269.0,Miami,2025-08-07 17:10:43,83,64.6,79.01,five thousand
270.0,New York,08-08-25,92,,62.62,5908
271.0,Phoenix,03-08-25,17,42.11,80.93,5686
272.0,Houston,2025-08-23 05:16:43,16,57.6,68.51,1241
273.0,San Francisco,2025-07-30 12:18:00,13,106.78,101.3,9189
274.0,MIAMI,2025-08-18 22:53:14,26,63.0,8.1,9797
275.0,New York,2025-08-11 10:54:49,38,139.98,120.52,8659
276.0,BOSTON,2025-07-26 23:33:40,16,122.3,64.38,1530
277.0,SEATTLE,2025-08-01 17:09:28,112,125.84,42.19,4073
278.0,H0ust0n,2025-08-14 23:50:32,97kmh,144.8,60.52,596
279.0,Phoenix,2025-08-09 18:38:38,80,90.6,8.36,3043
280.0,CHICAGO,2025-08-01 06:04:21,93,82.42,27.18,1677
281.0,Los Angeles,2025-08-23 11:18:25,105,46.62,57.35,1169
282.0,BOSTON,2025-08-08 07:55:41,109,155.35,111.86,330
283.0,Dallas,2025-08-08 09:17:03,118,192.09,131.7,814
284.0,new york,2025-08-07 15:45:08,52,high,63.08,5026
285.0,san francisco,2025-08-21 13:01:42,87,102.57,85.86,2509
286.0,CHICAGO,2025-08-24 03:35:43,93kmh,91.45,141.5,1881
287.0,Dallas,2025-08-20 03:45:02,58,120.42,-125.18,6789
288.0,Boston,2025/07/26,65,17.3,77.62,8643
289.0,Los Angeles ,2025-08-23 17:25:23,37,138.98,37.13,4381
290.0,SEATTLE,2025-08-04 22:59:13,86,high,122.34,1729
291.0,Phoenix,2025-08-03 07:56:42,80,51.61,38.3,891
292.0,Los Angeles,2025-07-28 06:10:40,15kmh,123.43,32.45,5980
293.0,Chicago,2025-08-15 01:44:52,109,135.11,22.54,3408
294.0,houston,2025-07-28 00:20:18,74,70.52,143.86,9796
295.0,new york,2025-08-19 00:51:36,34,103.72,15.24,4828
296.0,H0ust0n,2025-08-21 17:11:44,60,166.6,112.75,5131
297.0,Seattle,2025-08-13 23:36:03,65,high,71.26,five thousand
298.0,Chicago,2025/08/19,102,,51.26,1690
299.0,Miami,2025-08-13 14:27:32,78,19.15,124.51,5231
300.0,Boston,06-08-25,95,96.61,22.69,6544
301.0,los angeles,2025-08-07 11:37:18,62,165.8,68.42,3976
302.0,san francisco ,2025-07-28 22:45:44,102,136.24,137.59,five thousand
303.0,Phoenix,2025-08-23 15:52:06,56,,71.75,1838
304.0,Houston,2025-08-17 16:53:45,37,135.59,147.57,6319
305.0,Phoenix,2025-08-18 10:40:03,91,144.35,7.74,3664
306.0,Boston,2025-07-27 18:44:13,12,58.46,105.19,8485
307.0,boston,2025-08-12 16:49:03,55,22.44,40.81,8348
308.0,BOSTON,2025-08-20 00:57:45,91kmh,135.77,67.27,2304
309.0,Dallas,2025-08-23 23:50:20,23,113.33,141.82,five thousand
310.0,Seattle,2025-08-10 14:57:01,28,99.37,12.51,871
1962.0,Seattle,2025-08-19 04:13:03,92,125.41,43.59,2012
312.0,houston,2025-08-18 09:19:21,71kmh,178.87,95.44,4977
313.0,Dallas,2025-08-10 03:09:29,27,,51.75,7021
314.0,Boston,2025-08-23 16:36:25,70kmh,198.61,13.28,4775
315.0,Dallas,2025-07-29 00:48:57,96kmh,83.64,73.47,4300
316.0,Dallas,2025-07-27 23:24:39,71,131.62,122.2,9844
317.0,Seattle,2025-08-18 13:53:05,58,med,108.02,3814
318.0,Houston,2025/08/10,79,196.35,136.71,set
418.0,Houston,2025-08-11 21:11:03,109,196.52,102.72,930
320.0,MIAMI,2025-08-04 13:37:37,66kmh,90.06,71.4,728
321.0,Chicago,2025-08-05 19:01:55,113,173.22,116.18,4998
322.0,MIAMI,2025-08-19 10:43:54,38,188.89,26.97,7006
323.0,los angeles,NULL,43,158.32,8.96,821
324.0,boston,2025-08-16 09:33:47,104,92.58,144.81,9443
325.0,Boston,01-08-25,59,156.43,72.51,1279
326.0,Phoenix,2025-07-29 09:52:22,58,,68.24,3347
327.0,Miami,2025/07/28,84,136.33,81.52,4581
328.0,Seattle,2025-07-28 22:25:45,103,156.38,22.49,4847
329.0,San Francisco,2025-07-29 23:11:24,27,170.03,139.07,5151
330.0,Chicago,2025/08/10,91,162.94,84.24,3867
331.0,San Francisco ,2025-08-23 00:01:41,67,81.28,119.6,6878
332.0,houston,2025-08-02 04:14:55,106,64.55,127.64,4094
333.0,Houston,NULL,73,149.93,147.83,8896
334.0,Dallas,2025-08-10 08:44:54,73,135.99,135.59,daughter
335.0,Seattle,2025-08-16 06:54:18,48,111.94,-127.14,4012
336.0,Phoenix,2025-07-31 00:54:39,87,62.59,122.5,847
1313.0,Chicag0,2025/08/10,16kmh,117.2,123.92,8128
338.0,Miami,2025-08-09 13:26:37,47kmh,120.99,-137.57,9951
339.0,Dallas,2025-08-20 09:55:21,58,med,67.31,five thousand
340.0,Miami,2025-07-26 20:47:59,114,60.78,137.05,five thousand
341.0,New Y0rk,2025-08-21 07:47:48,18,38.45,6.74,9314
342.0,Houston,2025/08/03,82,36.99,82.66,1461
343.0,Chicago,2025-07-30 08:51:29,70,196.35,39.79,3953
344.0,Boston,13-08-25,29,93.04,100.61,vote
345.0,New York,2025-08-20 03:09:19,32,44.93,85.39,8172
346.0,Boston ,2025-08-07 00:52:22,18,29.22,78.77,5823
1128.0,houston,22-08-25,53kmh,high,92.46,7706
348.0,HOUSTON,17-08-25,76kmh,,53.14,3701
349.0,Chicago,2025-08-12 03:18:11,35,146.21,76.18,8075
350.0,Houston,2025-08-02 17:53:29,17,82.38,118.55,8448
351.0,Dallas,2025-07-28 06:10:29,55,73.61,137.62,five thousand
356.0,HOUSTON,2025-07-30 00:12:52,93,173.62,65.21,5472
353.0,Miami,2025-07-26 17:14:35,91,45.9,8.0,five thousand
354.0,Phoenix,2025-08-13 11:29:56,81,12.8,107.27,9014
355.0,Seattle,2025-07-30 19:07:20,100,149.86,84.13,6222
356.0,New York,2025-08-03 15:48:37,119,171.78,55.51,9239
357.0,Houston,2025/08/22,17,155.73,115.74,1613
358.0,Boston,2025-08-15 12:59:12,90,198.03,147.72,five thousand
359.0,Chicago,2025-08-14 07:31:46,85,59.88,95.42,3025
360.0,Los Angeles,2025-07-27 12:58:20,117,28.58,23.88,call
361.0,new york,2025-07-26 10:09:06,65,30.62,106.78,4318
362.0,Dallas ,2025/08/10,111,37.17,124.99,3014
363.0,Houston,2025-08-14 20:50:48,27,77.97,31.3,8959
364.0,San Francisco,2025/08/07,47kmh,20.49,74.12,6011
365.0,Los Angeles,2025-08-09 20:42:01,12,,78.63,8281
366.0,Miami,2025-07-30 08:36:01,25,74.23,55.74,8660
367.0,BOSTON,2025-08-05 13:35:39,116,30.0,96.06,3609
368.0,Seattle,NULL,85,85.89,38.97,6165
369.0,seattle,03-08-25,118,36.83,-29.6,745
370.0,San Francisco,2025-08-14 10:41:52,58,,129.81,8192
371.0,Dallas ,2025-08-01 05:29:47,116,111.02,87.77,6489
2174.0,san francisco,2025-08-04 10:58:21,28,Moderate,35.21,4182
373.0,New York,2025-08-03 16:00:51,44,93.84,49.14,6594
374.0,Seattle,2025/07/28,90,197.06,38.66,7960
375.0,DALLAS,16-08-25,76,157.44,31.69,5304
376.0,San Francisco,2025-08-06 23:55:55,73,60.01,17.98,7202
377.0,New Y0rk,2025-08-18 02:04:08,76,120.33,98.49,209
378.0,Phoenix,20-08-25,87,163.88,30.04,6035
379.0,Seattle,2025-08-17 11:28:31,31kmh,106.59,27.74,3021
380.0,Miami ,2025-08-19 05:39:36,98,,82.75,1260
,Seattle ,2025-08-09 14:29:35,110,152.86,61.34,7594
382.0,Phoenix,03-08-25,85,98.1,29.6,son
1709.0,Los Angeles,2025/08/21,89,188.39,51.94,4375
384.0,Chicago,2025-07-30 16:51:45,72,21.18,7.29,1025
385.0,NEW YORK,NULL,79,128.82,65.87,7225
386.0,miami,2025/08/03,120,168.7,128.7,6207
387.0,Miami,2025/07/29,37,99.17,126.95,966
388.0,Los Angeles,2025-08-08 16:31:33,36,111.26,7.12,8088
389.0,LOS ANGELES,2025-08-13 16:02:11,77,82.6,90.43,534
390.0,Boston,2025-08-01 17:20:40,67,123.47,131.33,2033
391.0,chicago,NULL,49,174.61,40.23,4483
392.0,LOS ANGELES,2025-07-27 09:10:09,100,75.7,125.4,2765
393.0,Seattle,2025-08-19 06:51:42,43,119.57,29.27,5708
394.0,dallas,2025-08-10 09:19:14,117,118.9,146.24,9222
395.0,Seattle,2025-08-14 14:52:25,114,134.62,144.11,4044
396.0,los angeles,2025-08-08 12:11:31,19kmh,,113.45,5955
397.0,Boston,2025/08/22,78,116.23,58.92,9770
398.0,Los Angeles,2025-07-31 22:56:16,16,114.58,125.19,4305
1921.0,houston,2025-08-02 05:40:13,15,197.0,116.16,9376
400.0,Phoenix,2025/08/12,57,25.23,81.13,5111
401.0,Miami,2025-08-16 01:14:09,20,166.94,44.23,4475
402.0,Chicago,2025-07-31 10:01:37,22,82.54,112.02,2973
403.0,chicago,02-08-25,49,77.42,56.52,five thousand
404.0,Dallas,NULL,67,176.93,81.29,2943
405.0,Boston,2025-07-27 05:50:12,41,50.19,23.02,7069
406.0,B0st0n,2025-08-11 05:35:33,113,160.76,42.08,5645
407.0,San Francisco,2025-07-30 19:01:55,16,med,62.08,3303
408.0,Los Angeles,2025-08-01 12:26:27,40,low,142.37,4252
409.0,houston ,2025-08-07 12:17:17,85,32.5,63.36,9471
410.0,chicago ,2025-08-03 22:17:31,21,126.0,97.27,6342
,Miami,2025-08-20 05:42:45,32,164.44,96.58,5171
412.0,phoenix,2025-08-04 13:30:01,100,50.49,77.82,8899
413.0,dallas,2025-08-01 21:54:11,63,104.36,113.65,five thousand
1917.0,Phoenix,2025-08-20 16:17:33,16,,52.59,9036
415.0,B0st0n,2025-08-16 05:15:18,90,,63.26,1073
416.0,HOUSTON,2025-08-15 07:29:52,28,19.91,145.02,9488
417.0,Dallas,2025-07-26 00:45:13,34,87.93,21.07,1446
