Product Name,Price,Category,Date Added,SKU
LED MONITOR,"296,64",Electronics,3/9/2025,SKU-9570
DESK LAMP,353,Electronics,28/08/2025,SKU-7666
Sunglasses,234,Accessories,8/8/2025,SKU-2219
LED MONITOR,418 USD,Clothing,2/8/2025,SKU-9514
USB Cable,$301.15 ,,10/21/2025,SKU-1914
Noise Cancelling Headphones,10,Home,6/21/2025,SKU-8439
  LED MONITOR  ,69 USD,Home,3/8/2025,SKU-1991
Water Bottle,245 USD,Clothing,11/22/2025,SKU-9308
gaming keyboard,248,Sports,20/08/2025,SKU-6384
T-Shirt,324,Beauty,12/13/2025,SKU-1110
  USB Cable  ,"472,97",Accessories,11-Aug-25,SKU-5029
WIRELESS MOUSE,340 USD,Accessories,17-Aug-25,SKU-8106
USB CABLE,196,,28-Aug-25,SKU-5819
FITNESS TRACKER,$69.65 ,Home,25-Aug-25,SKU-9342
Sunglasses,$371.63 ,Accessories,7/8/2025,SKU-7178
  BACKPACK  ,,Sports,14/08/2025,SKU-6194
WIRELESS MOUSE,267 USD,Accessories > Electronics,7-Aug-25,SKU-6394
DESK LAMP,283 USD,Clothing,19-Aug-25,SKU-1194
Sunglasses,269,Beauty,28/08/2025,SKU-7843
  t-shirt  ,419 USD,Accessories,23-Aug-25,SKU-5909
  wireless mouse  ,316,Home,9/13/2025,SKU-6387
  T-Shirt  ,,Accessories > Home,4/10/2025,
SUNGLASSES,$205.20 ,Home,7/8/2025,SKU-8778
Noise Cancelling Headphones,"233,08",Sports,8/15/2025,SKU-2492
T-Shirt,465,Home,13-Aug-25,SKU-1715
SMARTPHONE CASE,466,Home,4-Aug-25,SKU-6341
SMARTPHONE CASE,241,,11-Aug-25,SKU-8606
USB CABLE,$229.17 ,Sports > Clothing,3-Aug-25,SKU-1183
bluetooth speaker,$277.27 ,Home,2/8/2025,SKU-4305
  backpack  ★,$177.24 ,Beauty,4/8/2025,SKU-6286
LED Monitor,,Beauty,3/8/2025,
LED Monitor,92 USD,Beauty,6-Aug-25,SKU-6209
  RUNNING SHOES  ,$234.48 ,Accessories > Electronics,8-Aug-25,
backpack,383 USD,Clothing,14/08/2025,SKU-1388
  fitness tracker  ,118 USD,,2-Aug-25,SKU-3318
BLUETOOTH SPEAKER,45 USD,Accessories,8/8/2025,SKU-8344
LED MONITOR✔️,221,Accessories,1/25/2025,SKU-5918
bluetooth speaker,41,Accessories,24-Aug-25,SKU-7131
Water Bottle,$333.75 ,Home,25-Aug-25,SKU-6711
  Running Shoes  ,249 USD,,9-Aug-25,SKU-8462
BLUETOOTH SPEAKER,52,Home,2/17/2025,SKU-7993
Noise Cancelling Headphones,450 USD,Accessories,12/13/2025,SKU-3759
WIRELESS MOUSE,"152,93",Beauty > Home,2/15/2025,SKU-4041
smartphone case,$230.80 ,Clothing > Electronics,19/08/2025,SKU-8949
LAPTOP STAND,$345.74 ,Home,16/08/2025,SKU-8036
Fitness Tracker,$198.78 ,Home,4-Aug-25,SKU-5578
Portable Charger,331 USD,Electronics,12/11/2025,SKU-8938
USB Cable,"468,12",Beauty > Sports,2/8/2025,SKU-2426
T-SHIRT,$344.69 ,Electronics,13/08/2025,SKU-4610
Running Shoes,"256,11",Sports,23-Aug-25,SKU-7252
  water bottle  ★,386 USD,Accessories,10/24/2025,SKU-9775
Coffee Mug,307,Electronics,3/27/2025,SKU-9189
bluetooth speaker,$364.04 ,Clothing,27/08/2025,SKU-5775
COFFEE MUG,$371.26 ,Accessories,5/27/2025,SKU-1353
Fitness Tracker,361,Electronics > Sports,23/08/2025,SKU-3681
  t-shirt  ,$388.25 ,Beauty,7/14/2025,
  RUNNING SHOES  ,"308,55",Electronics > Home,21-Aug-25,SKU-7150
USB Cable,,Home,19-Aug-25,SKU-8856
laptop stand,,Sports,27-Aug-25,SKU-9684
Sunglasses,"111,84",Electronics,2/2/2025,
desk lamp,,Clothing > Sports,5/22/2025,SKU-9035
Sunglasses,126 USD,Accessories,4/19/2025,
DESK LAMP,"488,32",Sports,5/21/2025,SKU-7097
  Sunglasses  ,$227.48 ,,12/8/2025,SKU-3397
  PORTABLE CHARGER  ,405 USD,Sports,23/08/2025,SKU-5440
GAMING KEYBOARD,309,Home,5-Aug-25,SKU-3070
DESK LAMP,"132,86",Home,14-Aug-25,SKU-4748
USB Cable★,,Beauty,17-Aug-25,SKU-3235
Sunglasses,8 USD,Accessories,2-Aug-25,SKU-8350
sunglasses,$185.06 ,Clothing,9/28/2025,SKU-5752
  NOISE CANCELLING HEADPHONES  ,$206.27 ,Home,1/8/2025,SKU-6382
LAPTOP STAND,,Sports,25-Aug-25,SKU-5098
Coffee Mug,434 USD,Beauty,4/8/2025,SKU-1659
  Water Bottle  ,"141,15",Clothing,24/08/2025,SKU-3153
laptop stand🔥,310,Home,5-Aug-25,SKU-9376
Desk Lamp,"106,60",Accessories,11/5/2025,
LED Monitor★,"273,39",,7/21/2025,SKU-5411
backpack,169 USD,Sports > Accessories,8/12/2025,SKU-2587
Bluetooth Speaker,146,Electronics,2-Aug-25,SKU-4120
t-shirt,"394,25",Accessories,15-Aug-25,SKU-2923
USB Cable,$90.76 ,Beauty,28-Aug-25,SKU-2228
Sunglasses,308,Sports,10-Aug-25,SKU-5399
SMARTPHONE CASE,$332.18 ,Beauty,1-Aug-25,SKU-6692
Backpack,$73.52 ,Clothing,18-Aug-25,SKU-2743
coffee mug,109,Accessories,7/12/2025,SKU-9125
smartphone case,88,,15-Aug-25,SKU-7594
SUNGLASSES★,$198.49 ,,3/21/2025,SKU-2742
  fitness tracker  ,"422,20",Electronics,9/4/2025,SKU-2684
  Laptop Stand  ,"223,49",Beauty,2/16/2025,SKU-2666
  Noise Cancelling Headphones  ,314 USD,Sports,10/8/2025,SKU-6707
Desk Lamp,"408,00",Clothing > Home,4-Aug-25,SKU-8003
DESK LAMP,222,Sports,14-Aug-25,SKU-9144
Running Shoes,$220.67 ,Accessories,1/12/2025,
Backpack,"432,70",Accessories > Accessories,13-Aug-25,SKU-1431
Water Bottle🔥,,Sports,5-Aug-25,SKU-9641
Noise Cancelling Headphones,"61,19",Sports,18-Aug-25,SKU-5227
sunglasses,$52.66 ,Accessories,3-Aug-25,SKU-8674
coffee mug,44 USD,Electronics,2/3/2025,SKU-6064
led monitor,28 USD,Electronics,7/8/2025,SKU-6830
Laptop Stand,$401.19 ,Clothing,2/21/2025,SKU-4533
bluetooth speaker,"338,66",Clothing,25-Aug-25,SKU-7350
USB Cable★,$78.98 ,Home > Clothing,9-Aug-25,SKU-6952
USB CABLE,$247.32 ,Sports,28-Aug-25,SKU-3113
Sunglasses,$264.57 ,Beauty,9/1/2025,SKU-5762
coffee mug,$183.59 ,Electronics,14/08/2025,
Fitness Tracker,"24,69",Clothing,26/08/2025,SKU-8756
LED Monitor,40 USD,Beauty,4/22/2025,SKU-2514
  Water Bottle  ,406,Clothing,1/18/2025,SKU-2274
Bluetooth Speaker,"167,01",Home,17-Aug-25,SKU-1060
Bluetooth Speaker🔥,90 USD,Accessories,12/8/2025,SKU-1265
Noise Cancelling Headphones,185 USD,Electronics,6/6/2025,SKU-9892
Noise Cancelling Headphones,,Home > Beauty,15-Aug-25,SKU-1534
WATER BOTTLE,68,Home,12/13/2025,SKU-9315
Desk Lamp,18 USD,Clothing,7/8/2025,SKU-7444
WATER BOTTLE,$93.51 ,Beauty,13-Aug-25,SKU-5263
  smartphone case  ,$326.98 ,Sports,21/08/2025,SKU-4056
PORTABLE CHARGER,"399,33",Beauty > Sports,2/15/2025,SKU-3323
SMARTPHONE CASE,,Electronics,14/08/2025,SKU-8387
SMARTPHONE CASE,180,,9/24/2025,SKU-1484
sunglasses,"172,17",Clothing,18-Aug-25,SKU-5822
Running Shoes,148 USD,Accessories,14-Aug-25,SKU-5451
Laptop Stand,460 USD,Sports,11/17/2025,SKU-2878
fitness tracker,,Beauty > Clothing,8-Aug-25,SKU-2085
led monitor,335,Clothing,1/26/2025,SKU-5496
Laptop Stand,$15.36 ,Home,7/2/2025,SKU-6527
USB Cable,289,Sports > Clothing,8/16/2025,SKU-7126
  LAPTOP STAND  ★,,Beauty,9/1/2025,SKU-5254
GAMING KEYBOARD✔️,"410,48",Sports,19/08/2025,SKU-8320
Sunglasses,120 USD,Beauty > Sports,4/22/2025,
  RUNNING SHOES  ,58 USD,Clothing,5/8/2025,SKU-7317
SUNGLASSES😊,$89.87 ,Beauty > Electronics,16-Aug-25,SKU-9698
DESK LAMP,265,,14/08/2025,SKU-4103
Desk Lamp,,Electronics,8-Aug-25,SKU-7628
LAPTOP STAND,182 USD,Beauty > Accessories,16/08/2025,SKU-4909
USB CABLE,,Clothing,16-Aug-25,SKU-1016
  portable charger  ,$153.29 ,Electronics,12-Aug-25,SKU-5216
desk lamp,447,Electronics,11/1/2025,SKU-3320
SMARTPHONE CASE,466,Home,4-Aug-25,SKU-6341
LED MONITOR,370,Home,2/8/2025,SKU-8964
LED Monitor,367 USD,Clothing,5-Aug-25,SKU-1033
DESK LAMP,372 USD,Clothing > Sports,3-Aug-25,SKU-5945
COFFEE MUG,"377,86",Electronics,12-Aug-25,
T-Shirt,465,Home,13-Aug-25,SKU-1715
Bluetooth Speaker,146,Electronics,2-Aug-25,SKU-4120
led monitor,28 USD,Electronics,7/8/2025,SKU-6830
Noise Cancelling Headphones,450 USD,Accessories,12/13/2025,SKU-3759
  water bottle  ★,386 USD,Accessories,10/24/2025,SKU-9775
bluetooth speaker,41,Accessories,24-Aug-25,SKU-7131
T-SHIRT,405,,10-Aug-25,
WIRELESS MOUSE,"152,93",Beauty > Home,2/15/2025,SKU-4041
Running Shoes,148 USD,Accessories,14-Aug-25,SKU-5451
WIRELESS MOUSE,340 USD,Accessories,17-Aug-25,SKU-8106
  Sunglasses  ,$424.17 ,Accessories,6/8/2025,SKU-7101
laptop stand🔥,310,Home,5-Aug-25,SKU-9376
  fitness tracker  ,"422,20",Electronics,9/4/2025,SKU-2684
led monitor,28 USD,Electronics,7/8/2025,SKU-6830
Bluetooth Speaker,146,Electronics,2-Aug-25,SKU-4120
